campaign_key,campaign_name,objective
1,Grüner Strom Aktion,Neukundengewinnung
2,Wärmepumpen Förderung 2024,Produktlaunch
3,Solar Frühlings-Rabatt,Upsell
4,Smart Home Einführungsangebot,Produktlaunch
5,E-Mobility Bonus,Neukundengewinnung
6,Ökostrom für alle,Markenbekanntheit
7,Wintercheck Heizung,Kundenbindung
8,Energiespar-Challenge,Engagement
9,Nachbarschafts-Empfehlung,Empfehlung
10,Business Energy Paket,Lead-Generierung
11,Energie Kampagne 11,Upsell
12,Energie Kampagne 12,Upsell
13,Energie Kampagne 13,Upsell
14,Energie Kampagne 14,Upsell
15,Energie Kampagne 15,Kundenbindung
16,Energie Kampagne 16,Upsell
17,Energie Kampagne 17,Neukundengewinnung
18,Energie Kampagne 18,Upsell
19,Energie Kampagne 19,Upsell
20,Energie Kampagne 20,Upsell
21,Energie Kampagne 21,Neukundengewinnung
22,Energie Kampagne 22,Kundenbindung
23,Energie Kampagne 23,Lead-Generierung
24,Energie Kampagne 24,Upsell
25,Energie Kampagne 25,Upsell
26,Energie Kampagne 26,Kundenbindung
27,Energie Kampagne 27,Neukundengewinnung
28,Energie Kampagne 28,Lead-Generierung
29,Energie Kampagne 29,Upsell
30,Energie Kampagne 30,Neukundengewinnung
31,Energie Kampagne 31,Kundenbindung
32,Energie Kampagne 32,Upsell
33,Energie Kampagne 33,Upsell
34,Energie Kampagne 34,Upsell
35,Energie Kampagne 35,Neukundengewinnung
36,Energie Kampagne 36,Neukundengewinnung
37,Energie Kampagne 37,Kundenbindung
38,Energie Kampagne 38,Kundenbindung
39,Energie Kampagne 39,Lead-Generierung
40,Energie Kampagne 40,Kundenbindung
41,Energie Kampagne 41,Lead-Generierung
42,Energie Kampagne 42,Upsell
43,Energie Kampagne 43,Lead-Generierung
44,Energie Kampagne 44,Kundenbindung
45,Energie Kampagne 45,Kundenbindung
46,Energie Kampagne 46,Upsell
47,Energie Kampagne 47,Kundenbindung
48,Energie Kampagne 48,Kundenbindung
49,Energie Kampagne 49,Upsell
50,Energie Kampagne 50,Kundenbindung
51,Energie Kampagne 51,Lead-Generierung
52,Energie Kampagne 52,Neukundengewinnung
53,Energie Kampagne 53,Lead-Generierung
54,Energie Kampagne 54,Upsell
55,Energie Kampagne 55,Upsell
56,Energie Kampagne 56,Neukundengewinnung
57,Energie Kampagne 57,Upsell
58,Energie Kampagne 58,Lead-Generierung
59,Energie Kampagne 59,Neukundengewinnung
60,Energie Kampagne 60,Kundenbindung
61,Energie Kampagne 61,Kundenbindung
62,Energie Kampagne 62,Neukundengewinnung
63,Energie Kampagne 63,Neukundengewinnung
64,Energie Kampagne 64,Kundenbindung
65,Energie Kampagne 65,Neukundengewinnung
66,Energie Kampagne 66,Neukundengewinnung
67,Energie Kampagne 67,Neukundengewinnung
68,Energie Kampagne 68,Neukundengewinnung
69,Energie Kampagne 69,Lead-Generierung
70,Energie Kampagne 70,Upsell
71,Energie Kampagne 71,Kundenbindung
72,Energie Kampagne 72,Kundenbindung
73,Energie Kampagne 73,Neukundengewinnung
74,Energie Kampagne 74,Lead-Generierung
75,Energie Kampagne 75,Upsell
76,Energie Kampagne 76,Upsell
77,Energie Kampagne 77,Neukundengewinnung
78,Energie Kampagne 78,Neukundengewinnung
79,Energie Kampagne 79,Neukundengewinnung
80,Energie Kampagne 80,Upsell
81,Energie Kampagne 81,Kundenbindung
82,Energie Kampagne 82,Upsell
83,Energie Kampagne 83,Neukundengewinnung
84,Energie Kampagne 84,Upsell
85,Energie Kampagne 85,Upsell
86,Energie Kampagne 86,Kundenbindung
87,Energie Kampagne 87,Kundenbindung
88,Energie Kampagne 88,Kundenbindung
89,Energie Kampagne 89,Neukundengewinnung
90,Energie Kampagne 90,Neukundengewinnung
91,Energie Kampagne 91,Upsell
92,Energie Kampagne 92,Kundenbindung
93,Energie Kampagne 93,Upsell
94,Energie Kampagne 94,Neukundengewinnung
95,Energie Kampagne 95,Kundenbindung
96,Energie Kampagne 96,Lead-Generierung
97,Energie Kampagne 97,Lead-Generierung
98,Energie Kampagne 98,Kundenbindung
99,Energie Kampagne 99,Upsell
100,Energie Kampagne 100,Lead-Generierung
